Plot Title: 9730047			
#	"Date Time, GMT-07:00"	"AC Curr, Amps (LGR S/N: 9730047, SEN S/N: 9730047)"	End Of File (LGR S/N: 9730047)
490	7/7/2016 11:47	0.01	0
491	7/7/2016 11:50	0.01	0
492	7/7/2016 11:53	0.01	0
493	7/7/2016 11:56	0.01	0
494	7/7/2016 11:59	0.01	0
495	7/7/2016 12:02	0.01	0
496	7/7/2016 12:05	0.01	0
497	7/7/2016 12:08	0.01	0
498	7/7/2016 12:11	0.01	0
499	7/7/2016 12:14	0.01	0
500	7/7/2016 12:17	0.01	0
501	7/7/2016 12:20	0.01	0
502	7/7/2016 12:23	0.01	0
503	7/7/2016 12:26	0.01	0
504	7/7/2016 12:29	0.01	0
505	7/7/2016 12:32	0.01	0
506	7/7/2016 12:35	0.01	0
507	7/7/2016 12:38	0.01	0
508	7/7/2016 12:41	0.01	0
509	7/7/2016 12:44	0.01	0
510	7/7/2016 12:47	0.01	0
511	7/7/2016 12:50	0.01	0
512	7/7/2016 12:53	0.01	0
513	7/7/2016 12:56	0.01	0
514	7/7/2016 12:59	0.01	0
515	7/7/2016 13:02	0.01	0
516	7/7/2016 13:05	0.01	0
517	7/7/2016 13:08	0.01	0
518	7/7/2016 13:11	0.01	0
519	7/7/2016 13:14	0.01	0
520	7/7/2016 13:17	0.01	0
521	7/7/2016 13:20	0.01	0
522	7/7/2016 13:23	0.01	0
523	7/7/2016 13:26	0.01	0
524	7/7/2016 13:29	0.01	0
525	7/7/2016 13:32	0.01	0
526	7/7/2016 13:35	0.01	0
527	7/7/2016 13:38	0.01	0
528	7/7/2016 13:41	0.01	0
529	7/7/2016 13:44	0.01	0
530	7/7/2016 13:47	0.01	0
531	7/7/2016 13:50	0.01	0
532	7/7/2016 13:53	0.01	0
533	7/7/2016 13:56	0.01	0
534	7/7/2016 13:59	0.01	0
535	7/7/2016 14:02	0.01	0
536	7/7/2016 14:05	0.01	0
537	7/7/2016 14:08	0.01	0
538	7/7/2016 14:11	0.01	0
539	7/7/2016 14:14	0.01	0
540	7/7/2016 14:17	0.01	0
541	7/7/2016 14:20	0.01	0
542	7/7/2016 14:23	0.01	0
543	7/7/2016 14:26	0.01	0
544	7/7/2016 14:29	0.01	0
545	7/7/2016 14:32	0.01	0
546	7/7/2016 14:35	0.01	0
547	7/7/2016 14:38	0.01	0
548	7/7/2016 14:41	0.01	0
549	7/7/2016 14:44	0.01	0
550	7/7/2016 14:47	0.01	0
551	7/7/2016 14:50	0.01	0
552	7/7/2016 14:53	0.01	0
553	7/7/2016 14:56	0.01	0
554	7/7/2016 14:59	0.01	0
555	7/7/2016 15:02	0.01	0
556	7/7/2016 15:05	0.01	0
557	7/7/2016 15:08	0.01	0
558	7/7/2016 15:11	0.01	0
559	7/7/2016 15:14	0.01	0
560	7/7/2016 15:17	0.01	0
561	7/7/2016 15:20	0.01	0
562	7/7/2016 15:23	0.01	0
563	7/7/2016 15:26	0.01	0
564	7/7/2016 15:29	0.01	0
565	7/7/2016 15:32	0.01	0
566	7/7/2016 15:35	0.01	0
567	7/7/2016 15:38	0.01	0
568	7/7/2016 15:41	0.01	0
569	7/7/2016 15:44	0.01	0
570	7/7/2016 15:47	0.01	0
571	7/7/2016 15:50	0.01	0
572	7/7/2016 15:53	0.01	0
573	7/7/2016 15:56	0.01	0
574	7/7/2016 15:59	0.01	0
575	7/7/2016 16:02	0.01	0
576	7/7/2016 16:05	9.231	1.32
577	7/7/2016 16:08	10.706	1.32
578	7/7/2016 16:11	10.545	1.32
579	7/7/2016 16:14	0.01	0
580	7/7/2016 16:17	0.01	0
581	7/7/2016 16:20	0.01	0
582	7/7/2016 16:23	0.01	0
583	7/7/2016 16:26	0.01	0
584	7/7/2016 16:29	0.01	0
585	7/7/2016 16:32	0.01	0
586	7/7/2016 16:35	0.01	0
587	7/7/2016 16:38	0.01	0
588	7/7/2016 16:41	0.01	0
589	7/7/2016 16:44	9.607	1.32
590	7/7/2016 16:47	10.579	1.32
591	7/7/2016 16:50	10.672	1.32
592	7/7/2016 16:53	0.02	0
593	7/7/2016 16:56	0.01	0
594	7/7/2016 16:59	0.01	0
595	7/7/2016 17:02	0.01	0
596	7/7/2016 17:05	0.01	0
597	7/7/2016 17:08	0.01	0
598	7/7/2016 17:11	0.01	0
599	7/7/2016 17:14	0.01	0
600	7/7/2016 17:17	9.871	1.32
601	7/7/2016 17:20	10.491	1.32
602	7/7/2016 17:23	10.74	1.32
603	7/7/2016 17:26	0.02	0
604	7/7/2016 17:29	0.01	0
605	7/7/2016 17:32	0.01	0
606	7/7/2016 17:35	0.01	0
607	7/7/2016 17:38	0.01	0
608	7/7/2016 17:41	0.01	0
609	7/7/2016 17:44	0.01	0
610	7/7/2016 17:47	0.01	0
611	7/7/2016 17:50	10.628	1.32
